Image,IOU
60776.jpg,0.0005899125
69067.jpg,0.0
66466.jpg,0.00079063885
62777.jpg,0.009903441
60833.jpg,0.0012771392
61022.jpg,0.0056944005
69576.jpg,0.0648913
65455.jpg,0.0025983667
66729.jpg,0.05122861
66670.jpg,0.06602641
63927.jpg,0.0034464474
68054.jpg,0.019463224
68133.jpg,0.015426053
67978.jpg,0.044700038
62041.jpg,0.06997353
63514.jpg,0.002089864
61824.jpg,0.086746305
61625.jpg,0.004480956
68017.jpg,0.0
67879.jpg,0.001311107
62427.jpg,0.010656256
68572.jpg,0.0023737308
68607.jpg,0.00013360054
67993.jpg,0.015731236
69186.jpg,0.00082287594
68918.jpg,0.0
67175.jpg,0.0
68429.jpg,0.0058982135
69503.jpg,0.019014962
64410.jpg,0.0
67718.jpg,0.0039870893
62767.jpg,0.00949177
68390.jpg,0.02292111
69911.jpg,0.0025111912
61878.jpg,0.0
61976.jpg,0.00029325514
64352.jpg,0.011496634
62459.jpg,0.000120948236
68190.jpg,0.045873977
65730.jpg,0.044236176
65436.jpg,0.027085964
68393.jpg,0.00026791694
65898.jpg,0.0
61666.jpg,0.014208067
61728.jpg,0.067591816
68016.jpg,0.250174
64185.jpg,0.02587767
64649.jpg,0.004742333
68963.jpg,0.054401267
65961.jpg,0.010340549
67657.jpg,0.028967477
68376.jpg,0.009911894
67646.jpg,0.0061208196
66272.jpg,0.001914399
61704.jpg,0.0054483004
64627.jpg,0.0071294894
65912.jpg,0.12136838
63238.jpg,0.031346884
63096.jpg,0.033707865
63235.jpg,0.0
61961.jpg,0.12065728
67728.jpg,0.0062566176
64545.jpg,0.00203666
68873.jpg,0.0
60444.jpg,0.004401503
61874.jpg,0.0111649465
64671.jpg,0.014835165
63280.jpg,0.1166236
61126.jpg,0.0
69232.jpg,0.034038413
66136.jpg,0.0
67615.jpg,0.10366451
69473.jpg,0.3644319
69809.jpg,0.40408304
65642.jpg,0.0016152717
60744.jpg,0.0
63107.jpg,0.0049751243
64336.jpg,0.017970402
69791.jpg,0.0
68076.jpg,0.029092442
60531.jpg,0.002103787
63936.jpg,0.02618955
66060.jpg,0.0
62996.jpg,0.007137031
61280.jpg,0.017571885
64940.jpg,0.013092385
68281.jpg,0.036384705
67111.jpg,0.005012126
64798.jpg,0.04774787
66883.jpg,0.00086636347
68624.jpg,0.0726464
69952.jpg,0.1213969
61037.jpg,0.12569045
69388.jpg,0.03311258
66705.jpg,0.0
69542.jpg,0.013894176
61409.jpg,0.011053646
64604.jpg,0.0
62637.jpg,0.08295376
60482.jpg,0.0010691376
64381.jpg,0.40242794
60072.jpg,0.024253424
61953.jpg,0.0024916944
68344.jpg,0.14270638
61897.jpg,0.00017086715
67109.jpg,0.0017489312
68303.jpg,0.08478039
62302.jpg,0.0001102779
62881.jpg,0.0023734176
67090.jpg,0.06765117
67135.jpg,0.0
64528.jpg,0.0017160018
63147.jpg,0.016999524
63224.jpg,0.02618955
66307.jpg,0.012693653
64526.jpg,0.066089466
65400.jpg,0.009951302
63644.jpg,0.00017193948
68965.jpg,0.011316872
64031.jpg,0.14495933
64905.jpg,0.020761246
62538.jpg,0.0023416819
61596.jpg,0.09030837
67508.jpg,0.018579047
67407.jpg,0.006341979
60715.jpg,0.007536505
63719.jpg,0.02471019
63802.jpg,0.13524532
66895.jpg,0.04817688
64780.jpg,0.006834215
65087.jpg,0.0208717
67354.jpg,0.0
66352.jpg,0.0
67784.jpg,0.0940869
61475.jpg,0.08484247
68837.jpg,0.0
68541.jpg,0.0072934357
69866.jpg,0.019130435
61428.jpg,0.05277889
61995.jpg,0.0030275506
69349.jpg,0.0038610038
63871.jpg,0.02015412
69501.jpg,0.1666848
61532.jpg,0.010144928
62616.jpg,0.036405243
67390.jpg,0.028924534
67800.jpg,0.0
68853.jpg,0.0006033183
64362.jpg,0.06630542
67775.jpg,0.0
61009.jpg,0.052612524
63121.jpg,0.018359529
62477.jpg,0.19766982
63678.jpg,0.039799828
67242.jpg,0.20552486
69995.jpg,0.027692895
60930.jpg,0.0039242217
62034.jpg,0.0093240095
67177.jpg,0.0
65340.jpg,0.00034346557
61231.jpg,0.30770504
63220.jpg,0.004292404
65003.jpg,0.01718213
65543.jpg,0.0
68126.jpg,0.14415467
62989.jpg,0.16900411
67596.jpg,0.39179984
66594.jpg,0.12237417
61914.jpg,0.00066650007
63760.jpg,0.0
65567.jpg,0.0789586
68043.jpg,0.0015313936
62237.jpg,0.0035130223
62250.jpg,0.0
60826.jpg,0.0
65488.jpg,0.028024912
62647.jpg,0.03840282
67041.jpg,0.005234587
61367.jpg,0.18387209
66719.jpg,0.2109646
68089.jpg,0.033022862
63727.jpg,0.0
65680.jpg,0.00034734284
61503.jpg,0.03491896
69479.jpg,0.10953997
67601.jpg,0.0
64775.jpg,0.006693906
68928.jpg,0.04106814
69320.jpg,0.12389434
66922.jpg,0.0012824624
63578.jpg,0.024847047
63779.jpg,0.008568474
64659.jpg,0.04113924
61342.jpg,0.020340847
61324.jpg,0.0
63225.jpg,0.0
63625.jpg,0.0081044575
60124.jpg,0.0011599433
62090.jpg,0.04958179
65819.jpg,0.0
66775.jpg,0.0029635357
62965.jpg,0.010977337
62634.jpg,0.0066393283
63879.jpg,0.010442321
64832.jpg,0.0
65296.jpg,0.004784689
65244.jpg,0.0
69089.jpg,0.04398436
67256.jpg,0.018435834
67904.jpg,0.016153157
61140.jpg,0.0012967365
64224.jpg,0.0
63310.jpg,0.0
62734.jpg,0.0011506008
60993.jpg,0.005784959
69567.jpg,0.13036926
65645.jpg,0.0013910141
62000.jpg,0.0
62021.jpg,0.003739393
68038.jpg,0.0018018018
68832.jpg,0.023476629
65300.jpg,0.00018178513
69072.jpg,0.03186625
67286.jpg,0.16183113
61106.jpg,0.00075103267
64213.jpg,0.011350738
68719.jpg,0.0066996794
69285.jpg,0.0
63670.jpg,0.0
62343.jpg,0.0044856025
68816.jpg,0.0
69768.jpg,0.0026090199
68599.jpg,0.06557912
62799.jpg,0.058313776
66464.jpg,0.0036986156
65594.jpg,0.038105447
66634.jpg,0.043498065
63191.jpg,0.27331245
69944.jpg,0.0
67970.jpg,0.028207246
61368.jpg,0.05906996
60288.jpg,0.0025579808
60737.jpg,0.012988341
60870.jpg,0.104676835
61432.jpg,0.12707019
68532.jpg,0.09433578
62862.jpg,0.0
60882.jpg,0.005207154
66170.jpg,0.19789983
69139.jpg,0.0004415011
63027.jpg,0.0011160715
62246.jpg,0.0
61822.jpg,0.25590742
65177.jpg,0.025301674
63324.jpg,0.037960716
63801.jpg,0.0009136592
64189.jpg,0.02844802
62293.jpg,0.0036057692
69354.jpg,0.050291423
61755.jpg,0.0022061772
60269.jpg,0.0
61012.jpg,0.014817254
60768.jpg,0.015799256
69454.jpg,0.00035555556
69493.jpg,0.0
64635.jpg,0.0021929825
63084.jpg,0.0019070322
65694.jpg,0.03854506
64414.jpg,0.018873362
65271.jpg,0.14919356
60186.jpg,0.026482146
64307.jpg,0.020727886
61922.jpg,0.064577945
61924.jpg,0.047510933
68363.jpg,0.0030532847
61557.jpg,0.0
67726.jpg,0.01430969
69008.jpg,0.0
68578.jpg,0.28603944
67158.jpg,0.04025508
65429.jpg,0.005585392
69722.jpg,0.17049809
68247.jpg,0.09590683
69904.jpg,0.0012360939
66289.jpg,0.05538406
68981.jpg,0.0030154542
64782.jpg,0.0011554015
61501.jpg,0.00013800718
67114.jpg,0.024429968
63516.jpg,0.02773321
67381.jpg,0.01806039
68324.jpg,0.0
67558.jpg,0.012859767
61701.jpg,0.0
63616.jpg,0.050666668
64474.jpg,0.0018418327
62795.jpg,0.004731183
69313.jpg,0.0
68481.jpg,0.0082774935
60348.jpg,0.0019417476
65542.jpg,0.00023719165
66118.jpg,0.007767341
61364.jpg,0.0026223776
60922.jpg,0.02659103
63966.jpg,0.22588511
66690.jpg,0.08797234
68675.jpg,0.19433984
65883.jpg,0.0
62108.jpg,0.022158755
64084.jpg,0.0046902797
64155.jpg,0.011505273
66059.jpg,0.0
63268.jpg,0.0038746037
61017.jpg,0.009979529
64982.jpg,0.00036517673
62724.jpg,0.0
60115.jpg,0.015270936
64278.jpg,0.02651133
65664.jpg,0.0
66574.jpg,0.0
66469.jpg,0.17237164
64079.jpg,0.0
62360.jpg,0.00054362597
66167.jpg,0.24840145
63765.jpg,0.053047817
65844.jpg,0.001605566
64050.jpg,0.0016375546
69100.jpg,0.0
67742.jpg,0.003399367
66018.jpg,0.0
66077.jpg,0.0
66331.jpg,0.012327283
60872.jpg,0.022734761
61127.jpg,0.0132728685
61793.jpg,0.025471468
64404.jpg,0.045889866
69714.jpg,0.004390458
60067.jpg,0.06019919
69376.jpg,0.0039208364
68574.jpg,0.021350546
68289.jpg,0.16384694
68219.jpg,0.30445635
63182.jpg,0.1259587
69291.jpg,0.09028257
60181.jpg,0.04254599
61435.jpg,0.022915974
69147.jpg,0.010585305
66616.jpg,0.081933536
69451.jpg,0.023268497
61341.jpg,0.0033765773
65813.jpg,0.09044743
65599.jpg,0.0
60643.jpg,0.0
63289.jpg,0.009568896
69635.jpg,0.04254473
60752.jpg,0.0073617375
66934.jpg,0.003832056
61468.jpg,0.0019176423
62817.jpg,0.11311512
64676.jpg,0.05330213
64061.jpg,0.050677013
62928.jpg,0.03176506
67307.jpg,0.052856084
67980.jpg,0.0
61144.jpg,0.0068432014
67095.jpg,0.22329397
63847.jpg,0.002929483
63311.jpg,0.013439946
66353.jpg,0.00060259114
64557.jpg,0.21561086
66989.jpg,0.0022148394
62346.jpg,0.046831954
67832.jpg,0.011788481
68297.jpg,0.034982935
68011.jpg,0.033707865
61580.jpg,0.0
61977.jpg,0.0020048115
62853.jpg,0.0025943397
67116.jpg,0.0
64438.jpg,0.06474326
62903.jpg,0.0
